21세기지도자론,1,교양선택,일반,일반+직장,글로벌,경찰학과,김봉원,전체,3,3,0,화(6~7~8),전체학과(전체)
4차산업혁명과스마트메디케어의이해,1,교양선택,일반,일반+직장,메트로폴,정보보안학과,김병화,전체,2,2,0,화(5~6),전체학과(전체)
4차산업혁명과스마트팩토리의이해,1,교양선택,일반,일반+직장,메트로폴,컴퓨터공학과,박해동,전체,2,2,0,화(5~6),전체학과(전체)
4차산업혁명의이해 Ⅱ,1,교양선택,일반,일반+직장,메트로폴,유아교육과,김화준,전체,3,3,0,목(6~7~8),전체학과(전체)
Counselling Study Ⅳ,1,교양선택,CS,일반+직장,글로벌,(대명)레저&리조트학과,류동균,2,1,1,0,수(10),(대명)레저리조트학과(2학년)
Counselling Study Ⅳ,2,교양선택,CS,일반+직장,글로벌,관광경영학과,김영길,2,1,1,0,화(5),관광경영학과(2학년)
Counselling Study Ⅳ,3,교양선택,CS,일반+직장,글로벌,항공경영학과,김소용,2,1,1,0,화(9),항공경영학과(2학년)
Counselling Study Ⅳ,4,교양선택,CS,일반+직장,글로벌,해양심층수학과,최유길,2,1,1,0,월(4),해양심층수학과(2학년)
Counselling Study Ⅳ,5,교양선택,CS,일반+직장,글로벌,호텔경영학과,김윤식,2,1,1,0,수(9),호텔경영학과(2학년)
Counselling Study Ⅳ,6,교양선택,CS,일반+직장,메디컬,물리치료학과,김명준,2,1,1,0,화(1),물리치료학과(2학년)
Counselling Study Ⅳ,7,교양선택,CS,일반+직장,메디컬,물리치료학과,전용진,2,1,1,0,월(7),물리치료학과(2학년)
Counselling Study Ⅳ,10,교양선택,CS,일반+직장,메디컬,보건관리학과,이옥희,2,1,1,0,화(8),보건관리학과(2학년)
Counselling Study Ⅳ,11,교양선택,CS,일반+직장,메디컬,보건관리학과,박재영,2,1,1,0,목(4),보건관리학과(2학년)
Counselling Study Ⅳ,12,교양선택,CS,일반+직장,메디컬,보건관리학과,이시경,2,1,1,0,목(4),보건관리학과(2학년)
Counselling Study Ⅳ,13,교양선택,CS,일반+직장,메디컬,사회복지학과,어흥선,2,1,1,0,목(1),사회복지학과(2학년)
Counselling Study Ⅳ,14,교양선택,CS,일반+직장,메디컬,사회복지학과,어흥선,2,1,1,0,화(8),사회복지학과(2학년)
Counselling Study Ⅳ,15,교양선택,CS,일반+직장,메디컬,안경광학과,이성재,2,1,1,0,화(5),안경광학과(2학년)
Counselling Study Ⅳ,16,교양선택,CS,일반+직장,메디컬,응급구조학과,이귀자,2,1,1,0,화(1),응급구조학과(2학년)
Counselling Study Ⅳ,17,교양선택,CS,일반+직장,메디컬,응급구조학과,이명렬,2,1,1,0,화(1),응급구조학과(2학년)
Counselling Study Ⅳ,18,교양선택,CS,일반+직장,메디컬,임상병리학과,조민호,2,1,1,0,,임상병리학과(2학년)
Counselling Study Ⅳ,19,교양선택,CS,일반+직장,메디컬,임상병리학과,조민호,2,1,1,0,,임상병리학과(2학년)
Counselling Study Ⅳ,20,교양선택,CS,일반+직장,,,,2,1,1,0,,작업치료학과(2학년)
Counselling Study Ⅳ,21,교양선택,CS,일반+직장,메디컬,작업치료학과,오동환,2,1,1,0,,작업치료학과(2학년)
Counselling Study Ⅳ,22,교양선택,CS,일반+직장,메디컬,치기공학과,김사학,2,1,1,0,,치기공학과(2학년)
Counselling Study Ⅳ,23,교양선택,CS,일반+직장,메디컬,치기공학과,황성식,2,1,1,0,,치기공학과(2학년)
Counselling Study Ⅳ,24,교양선택,CS,일반+직장,메디컬,치기공학과,이선경,2,1,1,0,,치기공학과(2학년)
Counselling Study Ⅳ,25,교양선택,CS,일반+직장,메디컬,치기공학과,이혜은,2,1,1,0,,치기공학과(2학년)
Counselling Study Ⅳ,26,교양선택,CS,일반+직장,메디컬,치기공학과,문학룡,2,1,1,0,,치기공학과(2학년)
Counselling Study Ⅳ,27,교양선택,CS,일반+직장,메디컬,치기공학과,김선문,2,1,1,0,,치기공학과(2학년)
Counselling Study Ⅳ,28,교양선택,CS,일반+직장,메디컬,치기공학과,임용운,2,1,1,0,,치기공학과(2학년)
Counselling Study Ⅳ,29,교양선택,CS,일반+직장,메디컬,치기공학과,김경임,2,1,1,0,,치기공학과(2학년)
Counselling Study Ⅳ,30,교양선택,CS,일반+직장,메디컬,치위생학과,김영기,2,1,1,0,화(8),치위생학과(2학년)
Counselling Study Ⅳ,31,교양선택,CS,일반+직장,메디컬,치위생학과,최은미,2,1,1,0,월(1),치위생학과(2학년)
Counselling Study Ⅳ,32,교양선택,CS,일반+직장,메디컬,치위생학과,김미선,2,1,1,0,목(1),치위생학과(2학년)
Counselling Study Ⅳ,33,교양선택,CS,일반+직장,메디컬,치위생학과,이민선,2,1,1,0,월(2),치위생학과(2학년)
Counselling Study Ⅳ,34,교양선택,CS,일반+직장,메트로폴,건축공학과,서명석,2,1,1,0,월(4),건축공학과(2학년)
Counselling Study Ⅳ,35,교양선택,CS,일반+직장,메트로폴,건축디자인학과,김학철,2,1,1,0,화(5),건축디자인학과(2학년)
Counselling Study Ⅳ,36,교양선택,CS,일반+직장,메트로폴,건축디자인학과,양관목,2,1,1,0,화(5),건축디자인학과(2학년)
Counselling Study Ⅳ,37,교양선택,CS,일반+직장,메트로폴,건축디자인학과,정환목,2,1,1,0,화(5),건축디자인학과(2학년)
Counselling Study Ⅳ,38,교양선택,CS,일반+직장,메트로폴,건축디자인학과,최영철,2,1,1,0,화(5),건축디자인학과(2학년)
Counselling Study Ⅳ,39,교양선택,CS,일반+직장,메트로폴,경영학과,고창배,2,1,1,0,수(4),경영학과(2학년)
Counselling Study Ⅳ,40,교양선택,CS,일반+직장,메트로폴,경찰학과,공태명,2,1,1,0,월(7),경찰학과(2학년)
Counselling Study Ⅳ,41,교양선택,CS,일반+직장,메트로폴,경찰학과,공태명,2,1,1,0,월(8),경찰학과(2학년)
Counselling Study Ⅳ,42,교양선택,CS,일반+직장,메트로폴,경찰학과,공태명,2,1,1,0,월(9),경찰학과(2학년)
Counselling Study Ⅳ,43,교양선택,CS,일반+직장,메트로폴,디자인학과,박충훈,2,1,1,0,목(3),디자인학과(2학년)
Counselling Study Ⅳ,44,교양선택,CS,일반+직장,메트로폴,스포츠마케팅학과,이재우,2,1,1,0,금(1),스포츠마케팅학과(2학년)
Counselling Study Ⅳ,45,교양선택,CS,일반+직장,메트로폴,스포츠마케팅학과,오갑진,2,1,1,0,금(1),스포츠마케팅학과(2학년)
Counselling Study Ⅳ,46,교양선택,CS,일반+직장,글로벌,외식사업경영학과,김태광,2,1,1,0,화(7),외식사업경영학과(2학년)
Counselling Study Ⅳ,47,교양선택,CS,일반,메트로폴,유아교육과,신혜은,2,1,1,0,화(8),유아교육과(2학년)
Counselling Study Ⅳ,48,교양선택,CS,일반,메트로폴,유아교육과,신혜은,2,1,1,0,화(9),유아교육과(2학년)
Counselling Study Ⅳ,49,교양선택,CS,일반,메트로폴,유아교육과,신혜은,2,1,1,0,화(10),유아교육과(2학년)
Counselling Study Ⅳ,50,교양선택,CS,일반,메트로폴,유아교육과,노진호,2,1,1,0,화(9),유아교육과(2학년)
Counselling Study Ⅳ,51,교양선택,CS,일반,메트로폴,정보보안학과,최진일,2,1,1,0,월(10),정보보안학과(2학년)
Counselling Study Ⅳ,52,교양선택,CS,일반,메트로폴,중등특수교육과,김창배,2,1,1,0,목(7~8),중등특수교육과(2학년)
Counselling Study Ⅳ,53,교양선택,CS,일반,메트로폴,체육학과,나채만,2,1,1,0,월(4),체육학과(2학년)
Counselling Study Ⅳ,54,교양선택,CS,일반,메트로폴,컴퓨터공학과,채홍철,2,1,1,0,월(4),컴퓨터공학과(2학년)
Counselling Study Ⅳ,55,교양선택,CS,일반,메트로폴,컴퓨터공학과,민준식,2,1,1,0,화(8),컴퓨터공학과(2학년)
Counselling Study Ⅳ,56,교양선택,CS,일반,메트로폴,토목공학과,윤석호,2,1,1,0,화(4),토목공학과(2학년)
Counselling Study Ⅳ,57,교양선택,CS,일반,메트로폴,행정학과,신인섭,2,1,1,0,목(9),행정학과(2학년)
Counselling Study Ⅳ,58,교양선택,CS,일반,메트로폴,호텔조리학과,이재상,2,1,1,0,월(4),호텔조리학과(2학년)
Counselling Study Ⅳ,59,교양선택,CS,일반,메트로폴,호텔조리학과,이재상,2,1,1,0,월(8),호텔조리학과(2학년)
Counselling Study II,1,교양선택,CS,일반+직장,글로벌,(대명)레저&리조트학과,곽진규,1,1,1,0,화(3),(대명)레저리조트학과(1학년)
Counselling Study II,2,교양선택,CS,일반+직장,글로벌,관광경영학과,이명구,1,1,1,0,수(7),관광경영학과(1학년)
Counselling Study II,3,교양선택,CS,일반+직장,글로벌,항공경영학과,김상욱,1,1,1,0,월(3),항공경영학과(1학년)
Counselling Study II,4,교양선택,CS,일반+직장,글로벌,해양심층수학과,어재선,1,1,1,0,수(4),해양심층수학과(1학년)
Counselling Study II,5,교양선택,CS,일반+직장,글로벌,호텔경영학과,김종견,1,1,1,0,화(4),호텔경영학과(1학년)
Counselling Study II,6,교양선택,CS,일반+직장,메디컬,물리치료학과,김대훈,1,1,1,0,화(8),물리치료학과(1학년)
Counselling Study II,7,교양선택,CS,일반+직장,메디컬,물리치료학과,최영덕,1,1,1,0,목(8),물리치료학과(1학년)
Counselling Study II,8,교양선택,CS,일반+직장,메디컬,보건관리학과,이옥희,1,1,1,0,목(1),보건관리학과(1학년)
Counselling Study II,9,교양선택,CS,일반+직장,메디컬,보건관리학과,박재영,1,1,1,0,월(8),보건관리학과(1학년)
Counselling Study II,10,교양선택,CS,일반+직장,메디컬,보건관리학과,이시경,1,1,1,0,월(8),보건관리학과(1학년)
Counselling Study II,11,교양선택,CS,일반+직장,메디컬,사회복지학과,이화진,1,1,1,0,월(7),사회복지학과(1학년)
Counselling Study II,12,교양선택,CS,일반+직장,메디컬,사회복지학과,이화진,1,1,1,0,월(8),사회복지학과(1학년)
Counselling Study II,13,교양선택,CS,일반+직장,메디컬,안경광학과,조선아,1,1,1,0,월(7),안경광학과(1학년)
Counselling Study II,14,교양선택,CS,일반+직장,메디컬,응급구조학과,이귀자,1,1,1,0,화(5),응급구조학과(1학년)